row_num,time_stamp,X,Y,Z,AX,AY,AZ
1,2016-07-06 20:26:25,-19,-2,10,-0.9,-0.1,0.48
2,2016-07-06 20:26:27,-18,-2,10,-0.9,-0.05,0.48
3,2016-07-06 20:26:28,-17,-2,10,-0.81,-0.1,0.48
4,2016-07-06 20:26:30,-19,-1,9,-0.9,-0.05,0.43
5,2016-07-06 20:26:32,-19,-1,10,-0.9,-0.05,0.48
6,2016-07-06 20:26:34,-17,-1,9,-0.81,-0.05,0.43
7,2016-07-06 20:26:36,-19,-2,10,-0.9,-0.1,0.48
8,2016-07-06 20:26:38,-19,-1,9,-0.9,-0.05,0.43
9,2016-07-06 20:26:39,-19,0,9,-0.9,0.0,0.43
10,2016-07-06 20:26:41,-19,-1,9,-0.9,-0.05,0.43
11,2016-07-06 20:29:39,-20,0,9,-0.95,0.0,0.43
12,2016-07-06 20:29:41,-18,0,9,-0.86,0.0,0.43
13,2016-07-06 20:29:43,-19,0,8,-0.9,0.0,0.38
14,2016-07-06 20:29:45,-19,1,8,-0.9,0.05,0.38
15,2016-07-06 20:29:47,-20,-1,7,-0.95,-0.05,0.33
16,2016-07-06 20:29:48,-18,0,8,-0.86,0.0,0.38
17,2016-07-06 20:29:50,-18,-1,8,-0.86,-0.05,0.38
18,2016-07-06 20:29:52,-20,-1,9,-0.95,-0.05,0.43
19,2016-07-06 20:29:54,-20,0,8,-0.95,0.0,0.38
20,2016-07-06 20:29:56,-20,0,8,-0.95,0.0,0.38
21,2016-07-06 20:29:58,-20,0,8,-0.95,0.0,0.38
22,2016-07-06 20:29:59,-19,0,8,-0.9,0.0,0.38
23,2016-07-06 20:30:01,-19,0,8,-0.9,0.0,0.38
24,2016-07-06 20:30:03,-19,0,7,-0.9,0.0,0.33
25,2016-07-06 20:30:05,-20,-1,9,-0.95,-0.05,0.43
26,2016-07-06 20:30:07,-19,-1,9,-0.9,-0.05,0.43
27,2016-07-06 20:30:09,-19,0,8,-0.9,0.0,0.38
28,2016-07-06 20:30:10,-19,-2,9,-0.9,-0.1,0.43
29,2016-07-06 20:30:12,-18,0,8,-0.86,0.0,0.38
30,2016-07-06 20:30:14,-20,-1,9,-0.95,-0.05,0.43
31,2016-07-06 20:30:16,-20,-1,8,-0.95,-0.05,0.38
32,2016-07-06 20:30:18,-20,-1,7,-0.95,-0.05,0.38
33,2016-07-06 20:30:20,-19,0,7,-0.9,0.0,0.33
34,2016-07-06 20:30:21,-20,-1,8,-0.95,-0.05,0.38
35,2016-07-06 20:30:23,-19,-2,8,-0.9,-0.1,0.38
36,2016-07-06 20:30:25,-18,-2,8,-0.86,-0.1,0.38
37,2016-07-06 20:30:27,-19,-2,7,-0.9,-0.1,0.33
38,2016-07-06 20:30:29,-20,-4,7,-0.95,-0.19,0.33
39,2016-07-06 20:30:31,-3,-3,-7,-0.14,-0.14,-0.33
40,2016-07-06 20:30:33,-10,-9,18,-0.48,-0.43,0.86
41,2016-07-06 20:30:34,-10,-10,14,-0.48,-0.48,0.67
42,2016-07-06 20:30:36,-10,-11,15,-0.48,-0.52,0.71
43,2016-07-06 20:30:38,-8,-9,15,-0.38,-0.43,0.71
44,2016-07-06 20:30:40,-9,-8,18,-0.43,-0.38,0.86
45,2016-07-06 20:30:42,-7,-10,15,-0.33,-0.48,0.71
46,2016-07-06 20:30:43,-9,-10,18,-0.43,-0.48,0.86
47,2016-07-06 20:30:45,-7,-8,13,-0.33,-0.38,0.62
48,2016-07-06 20:30:47,-8,-8,14,-0.38,-0.38,0.67
49,2016-07-06 20:30:49,-9,-11,18,-0.43,-0.52,0.86
50,2016-07-06 20:30:51,-10,-5,21,-0.48,-0.24,1.0
51,2016-07-06 20:30:53,-9,-10,17,-0.43,-0.48,0.81
52,2016-07-06 20:30:55,-6,-10,14,-0.29,-0.48,0.67
53,2016-07-06 20:30:56,-8,-11,18,-0.38,-0.52,0.86
54,2016-07-06 20:30:58,-6,-4,22,-0.29,-0.19,1.05
55,2016-07-06 20:31:00,-7,-14,17,-0.33,-0.67,0.81
56,2016-07-06 20:31:02,-4,-10,20,-0.19,-0.48,0.95
