Row_Num,Time_stamp,Sound,Water,Vibration,UV_Index,Digital_Light,Gas,Dust,Temp
1,2016-07-06 20:29:39,118,False,544,-2.06,253,0.47,0.62,27.6
2,2016-07-06 20:29:41,202,False,541,-1.79,237,0.49,0.62,27.78
3,2016-07-06 20:29:43,164,False,543,-2.51,237,0.48,0.62,27.87
4,2016-07-06 20:29:45,138,False,542,-1.89,147,0.46,0.62,27.69
5,2016-07-06 20:29:46,245,False,542,-0.66,310,0.46,0.62,27.87
6,2016-07-06 20:29:48,126,False,543,-2.11,310,0.47,0.62,27.69
7,2016-07-06 20:29:50,203,False,543,-1.66,493,0.48,0.62,27.52
8,2016-07-06 20:29:52,218,False,543,-1.76,372,0.48,0.62,27.78
9,2016-07-06 20:29:54,210,False,543,-2.47,350,0.46,0.62,27.69
10,2016-07-06 20:29:56,150,False,541,-2.03,341,0.47,0.62,27.87
11,2016-07-06 20:29:57,111,False,543,-2.25,341,0.46,0.62,27.69
12,2016-07-06 20:29:59,257,False,543,-1.82,301,0.47,0.62,27.69
13,2016-07-06 20:30:01,174,False,541,-1.48,334,0.46,0.62,27.69
14,2016-07-06 20:30:03,172,False,543,-1.84,365,0.46,0.62,27.52
15,2016-07-06 20:30:05,230,False,541,-1.58,341,0.46,0.62,27.69
16,2016-07-06 20:30:07,201,False,543,-1.83,398,0.46,0.62,27.78
17,2016-07-06 20:30:08,133,False,543,-1.79,398,0.47,0.62,27.87
18,2016-07-06 20:30:10,181,False,543,-1.79,398,0.47,0.62,27.87
19,2016-07-06 20:30:12,212,False,545,-1.76,349,0.47,0.62,27.96
20,2016-07-06 20:30:14,129,False,544,-1.85,341,0.46,0.62,27.78
21,2016-07-06 20:30:16,125,False,545,-1.89,414,0.48,0.62,27.87
22,2016-07-06 20:30:18,314,False,545,-1.35,550,0.46,0.62,27.78
23,2016-07-06 20:30:19,210,False,544,-1.93,550,0.46,0.62,27.69
24,2016-07-06 20:30:21,135,False,544,-2.28,550,0.48,0.62,27.87
25,2016-07-06 20:30:23,111,False,546,-2.72,543,0.48,0.62,27.96
26,2016-07-06 20:30:25,198,False,546,-1.9,640,0.47,0.62,28.14
27,2016-07-06 20:30:27,517,False,544,-0.08,680,0.47,0.62,28.05
28,2016-07-06 20:30:29,188,False,544,-1.72,583,0.47,0.62,28.14
29,2016-07-06 20:30:30,313,False,545,2.91,709,0.48,0.62,27.69
30,2016-07-06 20:30:32,588,False,543,0.31,645,0.46,0.62,28.05
31,2016-07-06 20:30:34,195,False,546,-1.65,669,0.46,0.62,28.05
32,2016-07-06 20:30:36,595,False,547,-0.09,662,0.47,0.62,27.87
33,2016-07-06 20:30:38,230,False,544,-2.38,742,0.48,0.62,28.14
34,2016-07-06 20:30:40,314,False,544,-1.03,742,0.45,0.62,28.14
35,2016-07-06 20:30:41,524,False,542,0.69,768,0.47,0.62,28.14
36,2016-07-06 20:30:43,111,False,546,-0.66,751,0.48,0.62,27.96
37,2016-07-06 20:30:45,450,False,548,-0.53,735,0.48,0.62,28.14
38,2016-07-06 20:30:47,113,False,546,-2.09,759,0.46,0.62,28.23
39,2016-07-06 20:30:49,206,False,546,-2.24,669,0.48,0.62,28.23
40,2016-07-06 20:30:51,245,False,546,-0.97,808,0.48,0.62,27.96
41,2016-07-06 20:30:52,186,False,547,-1.93,719,0.46,0.62,28.23
42,2016-07-06 20:30:54,78,False,548,-1.88,629,0.47,0.62,28.5
43,2016-07-06 20:30:56,87,False,551,-2.29,598,0.47,0.62,28.5
44,2016-07-06 20:30:58,68,False,551,-1.84,662,0.44,0.62,28.32
45,2016-07-06 20:31:00,185,False,547,-2.17,605,0.46,0.62,28.32
46,2016-07-06 20:31:02,596,False,549,0.67,693,0.47,0.62,28.5
47,2016-07-06 20:31:03,455,False,551,0.51,621,0.47,0.62,28.5
48,2016-07-06 20:31:05,94,False,547,-2.82,645,0.46,0.62,28.14
49,2016-07-06 20:31:07,62,False,548,-2.91,636,0.47,0.62,28.41
50,2016-07-06 20:31:09,167,False,550,-2.39,702,0.48,0.62,28.5
51,2016-07-06 20:31:11,50,False,551,-2.42,629,0.47,0.62,28.5
52,2016-07-06 20:31:13,412,False,551,-2.28,653,0.48,0.62,28.32
53,2016-07-06 20:31:14,152,False,548,-3.3,662,0.45,0.62,28.5
54,2016-07-06 20:31:16,326,False,549,-0.69,613,0.46,0.62,28.32
